row,col
105,38
105,53
105,55
105,74
105,76
105,80
105,116
105,117
105,118
105,119
105,128
105,132
105,204
106,0
106,32
106,33
106,34
106,36
106,37
106,39
106,40
106,52
106,53
106,54
106,55
106,58
106,59
106,77
106,81
106,105
106,118
106,120
106,130
106,214
106,215
107,32
107,33
107,35
107,36
107,37
107,38
107,41
107,54
107,55
107,60
107,78
107,79
107,83
107,162
108,1
108,15
108,28
108,36
108,37
108,40
108,41
108,56
108,57
108,61
108,62
108,63
108,80
108,82
108,83
108,122
108,125
108,211
108,214
109,10
109,14
109,32
109,35
109,36
109,37
109,38
109,39
109,40
109,41
109,43
109,56
109,57
109,58
109,59
109,84
109,124
109,190
109,214
109,215
110,0
110,2
110,3
110,4
110,18
110,27
110,38
110,39
110,41
110,42
110,43
110,44
110,45
110,61
110,62
110,63
110,78
110,86
110,90
110,129
110,138
110,168
110,186
111,0
111,6
111,7
111,33
111,38
111,39
111,40
111,41
111,48
111,64
111,66
111,86
111,90
111,128
112,6
112,8
112,9
112,23
112,44
112,49
112,69
112,70
112,82
112,88
112,92
112,130
112,172
112,226
113,8
113,38
113,39
113,43
113,45
113,46
113,68
113,69
113,70
113,89
113,92
113,94
113,190
113,192
113,220
114,1
114,6
114,11
114,27
114,47
114,48
114,49
114,52
114,53
114,66
114,67
114,68
114,69
114,93
114,134
114,145
114,176
114,196
114,200
114,220
114,228
115,13
115,26
115,27
115,46
115,47
115,48
115,52
115,53
115,54
115,55
115,68
115,70
115,71
115,73
115,136
116,1
116,2
116,11
116,12
116,13
116,26
116,30
116,49
116,54
116,55
116,56
116,57
116,72
116,73
117,12
117,13
117,14
117,15
117,16
117,44
117,50
117,56
117,57
117,71
117,76
117,99
117,199
118,1
118,20
118,33
118,53
118,54
118,56
118,57
118,58
118,59
118,60
118,77
118,116
118,202
119,0
119,2
119,4
119,5
119,13
119,22
119,32
119,35
119,56
119,57
119,61
119,76
119,78
119,79
119,106
119,204
120,19
120,34
120,35
120,37
120,38
120,44
120,50
120,51
120,52
120,53
120,60
120,145
120,212
121,20
121,21
121,25
121,40
121,62
121,63
121,78
121,79
121,110
121,210
121,214
122,4
122,5
122,24
122,25
122,26
122,27
122,40
122,41
122,60
122,61
122,67
122,214
123,4
123,10
123,11
123,24
123,25
123,26
123,27
123,28
123,29
123,40
123,43
123,60
123,66
123,67
123,76
123,86
123,105
124,24
124,25
124,28
124,30
124,31
124,32
124,42
124,62
124,63
124,68
124,70
124,218
125,8
125,23
125,24
125,26
125,30
125,31
125,66
125,73
125,242
126,18
126,25
126,28
126,33
126,47
126,48
126,68
126,69
126,70
126,72
126,73
126,120
127,8
127,29
127,66
127,67
127,71
127,74
127,90
127,120
127,216
128,18
128,26
128,34
128,35
128,38
128,49
128,51
128,52
128,68
128,69
128,70
128,72
128,75
128,94
128,122
128,161
129,1
129,13
129,16
129,28
129,40
129,52
129,74
129,75
129,76
129,90
129,124
129,162
129,163
130,0
130,2
130,31
130,37
130,39
130,40
130,55
130,222
130,224
131,4
131,33
131,41
131,55
131,57
131,78
131,80
131,128
132,9
132,27
132,38
132,42
132,44
132,45
132,56
132,57
132,74
132,79
132,82
132,83
132,214
133,26
133,29
133,47
133,58
133,106
134,11
134,44
134,46
134,47
134,50
134,61
134,63
134,172
135,60
135,61
135,62
135,63
135,88
135,220
136,10
136,12
136,13
136,15
136,34
136,35
136,43
136,66
136,89
137,11
137,12
137,34
137,35
137,37
137,52
137,53
137,54
137,66
138,10
138,12
138,13
138,15
138,17
138,36
138,37
138,55
138,57
138,69
138,94
139,12
139,13
139,14
139,15
139,16
139,17
139,18
139,39
139,54
139,56
139,72
139,182
140,14
140,20
140,21
140,38
140,52
140,60
140,73
140,96
140,97
140,184
141,43
141,59
141,100
142,22
142,23
142,45
142,100
142,101
143,44
143,45
143,47
143,78
143,79
144,20
144,44
145,51
145,69
145,83
146,31
146,48
146,53
146,71
147,6
147,16
147,30
147,31
147,34
147,111
147,160
148,8
148,28
148,30
148,35
148,54
148,74
148,88
148,112
149,54
149,76
149,118
150,1
150,28
150,30
150,31
150,32
150,38
150,40
150,57
151,0
151,14
151,61
151,80
151,93
152,12
152,35
152,39
152,43
152,60
152,61
152,63
152,94
153,11
153,40
153,62
153,122
154,8
154,10
154,37
154,41
154,42
154,43
154,46
154,47
154,66
155,14
155,42
155,43
155,68
155,88
155,214
156,10
156,16
156,42
156,43
156,44
156,45
156,52
156,69
156,90
157,49
157,50
157,52
157,130
158,9
158,10
158,14
158,44
158,45
158,132
159,11
159,16
159,17
159,44
159,76
159,134
160,8
160,12
160,13
160,14
160,17
160,19
160,55
160,76
161,12
161,16
161,18
161,19
161,20
161,52
161,53
161,55
161,56
161,57
161,58
161,59
162,9
162,13
162,15
162,17
162,21
162,58
162,59
162,80
163,0
163,7
163,8
163,9
163,11
163,14
163,15
163,16
163,17
163,20
163,23
163,56
163,57
163,58
163,62
163,82
164,6
164,8
164,9
164,12
164,13
164,16
164,17
164,19
164,21
164,22
164,90
165,8
165,9
165,10
165,12
165,13
165,14
165,15
165,16
165,17
165,18
165,60
165,62
165,63
165,148
166,12
166,14
166,15
166,16
166,17
166,29
166,61
166,64
166,65
166,67
166,88
166,109
166,150
167,8
167,13
167,14
167,15
167,16
167,17
167,18
167,19
167,68
167,69
168,9
168,12
168,14
168,15
168,16
168,18
168,19
168,21
168,64
168,72
168,93
168,132
168,154
169,6
169,8
169,11
169,14
169,15
169,17
169,20
