row,col
0,430
54,1
62,1
67,269
68,1
70,210
73,186
74,1
76,0
79,0
80,1
82,259
86,164
86,287
89,155
89,247
89,315
89,328
90,1
92,203
93,175
96,0
96,202
98,155
102,253
105,271
106,136
108,240
112,153
114,137
117,245
119,13
124,1
125,0
125,362
126,258
129,1
130,0
130,1
131,1
131,357
132,0
132,116
132,177
136,354
140,263
149,208
150,361
152,264
154,191
154,314
156,351
158,187
158,243
162,218
163,336
166,185
169,59
172,250
176,1
176,241
177,0
179,297
181,278
183,222
186,84
186,203
189,202
190,241
190,250
195,246
195,367
196,285
197,0
197,199
204,6
204,265
207,1
208,247
214,235
217,1
218,194
219,0
219,144
219,237
220,0
223,1
224,0
224,1
225,241
226,260
227,73
227,240
228,225
230,151
230,171
234,291
237,154
238,1
238,67
239,1
239,316
241,173
241,222
242,233
242,236
242,300
244,176
246,180
249,228
250,219
250,279
252,1
253,208
254,244
255,155
255,237
255,256
257,356
261,229
262,0
273,145
274,264
278,1
280,0
