row,col
40,0
58,0
58,1
59,0
62,203
69,0
76,240
80,289
80,342
83,295
83,323
85,240
86,272
87,334
88,281
90,246
92,429
93,230
94,250
94,283
94,306
95,294
95,429
96,271
97,227
99,157
99,210
99,232
99,344
100,318
100,327
101,236
101,308
101,385
103,278
104,277
104,288
104,308
104,338
104,347
104,348
105,240
105,247
105,290
106,304
107,0
107,250
107,291
107,332
107,372
108,259
108,323
109,278
110,0
110,281
111,316
113,215
114,274
114,310
115,372
116,223
116,271
117,148
117,246
117,367
118,274
118,323
122,152
124,280
124,292
131,280
131,344
138,0
138,268
161,0
193,94
203,133
208,136
229,107
233,22
251,35
