row,col
107,0
116,16
116,17
117,0
117,1
117,19
118,0
118,1
118,12
119,0
119,1
119,3
119,17
120,0
120,1
120,2
120,19
121,0
121,1
121,17
121,18
121,19
122,0
122,1
122,16
122,17
122,18
122,19
123,0
123,1
123,9
123,15
123,18
123,19
124,0
124,1
124,2
125,0
125,1
125,15
125,17
125,19
126,0
126,1
126,2
126,3
126,20
126,21
127,0
127,1
127,2
127,3
127,13
127,15
127,17
127,19
127,20
127,21
127,23
128,0
128,1
128,2
128,3
128,18
128,19
128,22
128,23
129,0
129,1
129,2
129,3
129,15
129,17
129,22
129,23
130,0
130,1
130,2
130,3
130,18
130,20
130,21
131,0
131,1
131,2
131,3
131,15
131,19
132,0
132,1
132,21
132,22
133,0
133,1
133,2
133,3
133,15
133,17
133,20
133,21
133,23
134,0
134,1
134,2
134,3
134,18
134,20
134,21
134,22
134,23
135,0
135,1
135,2
135,3
135,15
135,19
135,20
135,21
135,22
135,23
136,0
136,1
136,2
136,3
136,20
137,0
137,1
137,2
137,3
137,9
137,10
137,17
137,19
137,21
137,23
138,0
138,1
138,2
138,3
138,20
138,21
138,22
138,23
139,0
139,1
139,2
139,3
139,18
139,20
139,21
140,0
140,1
140,2
140,3
140,4
140,19
140,20
140,21
140,23
141,0
141,1
141,2
141,3
141,18
141,19
141,20
141,22
141,23
141,25
142,0
142,1
142,2
142,3
142,22
142,23
142,24
142,25
143,0
143,1
143,2
143,3
143,16
143,17
143,20
143,21
143,22
143,23
144,0
144,1
144,4
144,5
144,19
144,22
144,25
145,0
145,1
145,2
145,3
145,4
145,5
145,15
145,17
145,21
145,23
146,0
146,1
146,2
146,3
146,14
146,15
146,16
146,17
146,18
146,19
146,20
146,21
147,0
147,1
147,20
147,21
148,0
148,1
148,2
148,3
148,4
148,15
148,19
148,20
148,21
148,22
148,23
149,0
149,1
149,2
149,3
149,22
149,23
149,25
150,0
150,1
150,2
150,20
150,21
150,22
150,23
151,0
151,1
151,17
151,19
151,20
151,21
152,0
152,1
152,2
152,3
152,15
152,18
152,22
153,0
153,1
153,2
153,3
153,17
153,20
153,21
153,23
154,0
154,1
154,13
154,20
154,21
154,22
154,23
155,0
155,1
155,20
155,21
155,25
156,0
156,1
156,13
156,15
156,17
156,18
156,20
156,21
157,0
157,1
157,16
157,20
158,0
158,1
158,18
158,19
159,0
159,1
159,18
160,0
160,15
160,17
161,14
161,15
161,19
161,20
161,21
162,14
162,17
162,23
163,20
164,11
164,13
164,15
164,17
164,19
164,21
166,15
166,17
167,19
168,13
168,15
170,17
